19
233
false
0 4 8
0 9 7
0 17 2
0 2 8
0 15 5
0 16 17
0 14 3
0 6 6
0 8 14
0 12 1
0 5 4
0 18 0
0 1 13
0 3 1
0 13 18
1 7 0
1 0 1
1 11 14
1 5 16
1 14 17
1 2 7
1 15 2
1 16 2
1 10 13
1 18 18
1 12 2
1 6 12
1 4 16
1 13 13
1 8 5
1 9 7
1 17 11
1 3 9
2 3 12
2 10 15
2 18 2
2 9 13
2 12 7
2 14 7
2 8 16
2 4 6
2 16 4
2 17 11
2 11 14
2 7 17
2 0 10
2 5 17
2 1 6
2 13 13
2 15 9
3 2 7
3 18 8
3 10 16
3 14 14
3 8 15
3 0 9
3 13 6
3 12 9
3 7 17
3 4 9
4 3 13
4 6 16
4 18 18
4 8 1
4 12 11
4 5 1
4 7 5
5 2 8
5 17 16
5 13 17
5 10 3
5 7 0
5 6 2
5 11 2
5 15 15
5 3 5
5 0 9
5 9 2
5 12 4
5 1 12
5 8 9
6 0 6
6 13 2
6 1 10
6 7 8
6 17 14
6 9 8
6 15 14
7 17 3
7 3 13
7 12 5
7 14 1
7 2 4
7 0 10
7 5 4
7 11 11
7 6 7
7 8 11
7 13 6
7 15 3
7 4 10
7 9 7
7 18 5
7 1 0
8 6 7
8 10 6
8 3 12
8 18 1
8 12 5
8 0 2
8 14 18
8 9 10
8 16 0
8 7 4
8 13 10
8 2 5
8 1 7
8 11 16
8 5 13
8 15 18
9 2 14
9 3 5
10 16 13
10 15 9
10 7 15
10 5 4
10 4 14
10 13 4
10 18 9
10 0 17
10 17 12
10 1 7
10 3 6
10 9 6
10 12 14
10 2 3
11 8 17
11 10 6
11 17 8
11 12 4
12 10 0
12 0 8
12 18 7
12 13 1
12 14 11
12 3 16
12 8 12
12 5 1
12 4 7
12 2 18
12 9 18
12 11 5
12 15 15
12 17 7
12 1 11
12 6 3
12 7 17
12 16 12
13 7 14
13 2 18
13 11 10
13 8 9
13 14 6
14 9 15
14 16 9
14 0 6
14 4 14
14 3 2
14 8 11
14 2 8
14 1 6
14 13 3
14 18 14
14 17 7
14 10 14
14 6 18
14 11 18
15 9 7
15 11 12
15 7 5
15 10 6
15 18 3
15 0 12
15 2 18
15 5 4
15 13 4
15 4 16
16 0 3
16 5 4
16 11 16
16 6 14
16 13 15
16 2 17
16 8 16
16 18 1
16 17 7
16 3 0
16 1 4
16 7 0
16 12 1
17 7 10
17 0 11
17 14 5
17 2 6
17 16 13
17 11 5
17 1 8
17 6 0
17 12 5
17 4 0
17 8 7
17 18 12
17 5 8
17 3 13
17 9 6
17 10 16
18 15 13
18 17 15
18 10 2
18 8 11
18 0 13
18 9 12
18 11 4
18 13 12
18 16 7
18 1 12
18 7 6
18 6 10
18 12 16
18 4 6
18 2 10
18 14 8
18 5 17
