98
199
false
0 8 16
1 3 6
2 76 5
2 84 17
2 78 0
3 71 10
4 54 5
4 21 7
5 15 13
6 43 2
7 45 3
7 52 17
7 3 6
8 60 10
9 39 12
10 50 12
11 70 1
11 93 4
12 14 6
12 61 5
12 86 14
13 31 14
13 54 16
13 15 3
14 72 10
14 64 0
15 75 2
15 53 3
16 61 5
16 63 2
16 78 3
17 49 6
17 64 8
18 95 0
18 90 10
19 54 2
19 35 17
19 36 11
20 13 10
20 10 11
21 27 13
21 57 10
21 72 8
22 77 11
23 92 12
23 53 8
24 44 15
25 7 4
25 24 10
26 60 18
26 71 9
26 83 15
27 77 2
27 44 18
28 13 9
29 84 7
30 39 15
31 40 9
31 63 6
32 88 13
32 90 2
33 63 11
34 2 12
34 71 16
35 61 10
36 70 10
37 41 7
37 84 14
38 6 8
38 4 0
38 5 18
39 93 12
39 71 0
40 36 9
41 39 2
41 37 15
41 6 13
42 14 2
42 12 15
43 79 10
43 52 13
43 65 8
44 70 5
44 10 9
44 48 17
45 93 0
45 60 6
45 7 9
46 0 5
47 55 9
47 59 9
47 61 11
48 96 2
48 71 18
49 65 5
49 32 1
50 83 1
50 28 3
50 19 2
51 53 3
51 79 11
51 33 0
52 44 9
52 54 15
52 12 9
53 65 11
54 62 11
54 41 4
54 88 13
55 29 14
55 14 4
56 83 15
57 18 12
58 7 12
59 51 18
59 17 13
59 94 14
60 70 12
60 89 11
61 35 5
61 29 4
62 36 1
62 32 4
63 85 11
64 41 17
64 5 0
65 95 12
66 91 7
66 77 7
66 15 5
67 46 8
67 31 1
67 80 18
68 94 7
69 82 11
70 26 0
71 67 17
72 68 16
72 77 11
73 27 15
73 63 0
74 44 15
74 73 15
74 78 7
75 95 13
76 49 17
76 77 7
76 27 4
77 48 2
77 16 12
77 97 0
78 42 7
78 91 2
79 40 16
79 19 18
79 45 11
80 39 10
80 20 1
80 19 18
81 96 3
81 18 9
81 94 14
82 12 8
82 41 11
82 19 18
83 12 2
83 11 11
83 51 15
84 74 3
84 36 17
85 11 13
85 72 8
85 17 15
86 67 11
86 66 15
86 24 16
87 97 15
88 65 14
89 29 10
89 8 16
89 57 5
90 65 5
90 9 9
90 25 18
91 45 15
91 70 12
92 41 18
93 21 12
93 39 18
93 97 1
94 87 8
95 35 1
95 52 15
95 12 13
96 79 0
96 20 14
96 18 14
97 78 12
97 76 10
